X..	X.logFC.	X.logCPM.	X.LR.	X.PValue.	X.FDR.	Mouse	Human	Drosophila	Aplysia clifornica	Saccoglossus kowalevskii	Cluster
PladumEVm018416	2.70879256336414	3.66263905188616	163.910798460118	1.58215234188279e-37	5.02534733391299e-34	sp|Q8CHQ0|FBX4_MOUSE F-box only protein 4 OS=Mus musculus OX=10090 GN=Fbxo4 PE=1 SV=2	NP_036308.1 F-box only protein 4 isoform 1 [Homo sapiens]	gi|21358451|ref|NP_651696.1| CG2010, isoform B [Drosophila melanogaster]	XP_005092137.1 F-box only protein 4 [Aplysia californica]	XP_006812266.1 PREDICTED: F-box only protein 4-like [Saccoglossus kowalevskii]	0
PladumEVm015436	2.68265572585251	4.72630121811875	152.637035244312	4.59831709744906e-35	1.33883834223144e-31	sp|O09158|CP3AP_MOUSE Cytochrome P450 3A25 OS=Mus musculus OX=10090 GN=Cyp3a25 PE=1 SV=1	NP_001189784.1 cytochrome P450 3A4 isoform 2 [Homo sapiens]	gi|17647305|ref|NP_523628.1| cytochrome P450-6a2 [Drosophila melanogaster]	XP_012945993.1 cytochrome P450 3A16 [Aplysia californica]	XP_006824666.1 PREDICTED: cytochrome P450 3A8-like [Saccoglossus kowalevskii]	0
PladumEVm028923	3.09954373149281	4.21334752300027	142.611472965709	7.14794616132974e-33	1.92109300715923e-29	sp|Q9DC53|CPNE8_MOUSE Copine-8 OS=Mus musculus OX=10090 GN=Cpne8 PE=2 SV=3	XP_016874341.1 copine-8 isoform X1 [Homo sapiens]	.	XP_005111310.2 copine family protein 1 [Aplysia californica]	XP_002737345.1 PREDICTED: copine family protein 2-like [Saccoglossus kowalevskii]	8
PladumEVm025421	2.63445240022438	4.33348435254734	142.392011701392	7.98300798658338e-33	1.99227368602312e-29	sp|Q91WV7|SLC31_MOUSE Neutral and basic amino acid transport protein rBAT OS=Mus musculus OX=10090 GN=Slc3a1 PE=1 SV=1	XP_011531349.1 neutral and basic amino acid transport protein rBAT isoform X1 [Homo sapiens]	gi|24583749|ref|NP_609523.2| maltase B2, isoform A [Drosophila melanogaster]	XP_005093171.2 alpha-glucosidase [Aplysia californica]	XP_002737810.1 PREDICTED: neutral and basic amino acid transport protein rBAT-like [Saccoglossus kowalevskii]	0
PladumEVm030309	-2.56764752998691	3.94962461282064	140.933391265478	1.66382375934991e-32	3.87548922186177e-29	sp|P35428|HES1_MOUSE Transcription factor HES-1 OS=Mus musculus OX=10090 GN=Hes1 PE=1 SV=1	NP_005515.1 transcription factor HES-1 [Homo sapiens]	gi|17136808|ref|NP_476923.1| deadpan [Drosophila melanogaster]	XP_035828630.1 probable serine/threonine-protein kinase tsuA [Aplysia californica]	NP_001158466.1 hairy and enhancer of split 1 [Saccoglossus kowalevskii]	0
PladumEVm016416	2.51787299592467	4.27073625857279	139.280734431772	3.8238715585947e-32	8.35014052410876e-29	tr|Q9WV19|Q9WV19_MOUSE Cytochrome P450, family 2, subfamily g, polypeptide 1 OS=Mus musculus OX=10090 GN=Cyp2g1 PE=2 SV=1	NP_000766.2 cytochrome P450 2J2 [Homo sapiens]	gi|24643092|ref|NP_728191.1| cytochrome P450-18a1, isoform A [Drosophila melanogaster]	XP_005112250.2 cytochrome P450 2H1 [Aplysia californica]	XP_002731713.1 PREDICTED: cytochrome P450 2U1-like [Saccoglossus kowalevskii]	3
PladumEVm045311	-3.42714375729418	3.58404685765436	135.142963058928	3.07231381245874e-31	6.31432778197034e-28	.	.	.	.	.	3
PladumEVm061919	-2.2975942522071	6.18850165102868	133.566159621503	6.79791906467438e-31	1.31951385667032e-27	.	.	.	.	.	2
PladumEVm045566	3.39859039251465	9.30301197974312	132.622141501761	1.09366622600348e-30	2.01113706685976e-27	sp|Q9JHF7|HPGDS_MOUSE Hematopoietic prostaglandin D synthase OS=Mus musculus OX=10090 GN=Hpgds PE=1 SV=3	NP_055300.1 hematopoietic prostaglandin D synthase [Homo sapiens]	gi|442623993|ref|NP_001261040.1| glutathione S transferase S1, isoform D [Drosophila melanogaster]	XP_012945673.1 probable glutathione S-transferase 6 [Aplysia californica]	XP_002731499.2 PREDICTED: hematopoietic prostaglandin D synthase-like [Saccoglossus kowalevskii]	7
PladumEVm015182	2.25593100438268	6.89704089097462	120.910048138722	3.99857301840971e-28	6.98530713451084e-25	sp|Q9JMA7|CP341_MOUSE Cytochrome P450 3A41 OS=Mus musculus OX=10090 GN=Cyp3a41a PE=1 SV=2	NP_001278759.1 cytochrome P450 3A5 isoform 4 precursor [Homo sapiens]	gi|21357069|ref|NP_650189.1| Cyp9f2 [Drosophila melanogaster]	XP_005112054.1 cytochrome P450 3A41 isoform X1 [Aplysia californica]	XP_006824666.1 PREDICTED: cytochrome P450 3A8-like [Saccoglossus kowalevskii]	0
PladumEVm016424	3.2294087659442	2.30347290578142	115.176618378481	7.19914392271924e-27	1.19776614055185e-23	tr|Q9WV19|Q9WV19_MOUSE Cytochrome P450, family 2, subfamily g, polypeptide 1 OS=Mus musculus OX=10090 GN=Cyp2g1 PE=2 SV=1	NP_000766.2 cytochrome P450 2J2 [Homo sapiens]	gi|24643092|ref|NP_728191.1| cytochrome P450-18a1, isoform A [Drosophila melanogaster]	XP_005112250.2 cytochrome P450 2H1 [Aplysia californica]	XP_002740465.1 PREDICTED: cytochrome P450 2U1-like [Saccoglossus kowalevskii]	0
PladumEVm040119	1.83636083378891	4.80182250051571	113.753041992195	1.47591702335161e-26	2.34395749449463e-23	sp|Q61335|BAP31_MOUSE B-cell receptor-associated protein 31 OS=Mus musculus OX=10090 GN=Bcap31 PE=1 SV=4	NP_005736.3 B-cell receptor-associated protein 31 isoform b [Homo sapiens]	gi|19923024|ref|NP_612062.1| uncharacterized protein Dmel_CG13887, isoform B [Drosophila melanogaster]	XP_005090968.1 B-cell receptor-associated protein 31 isoform X1 [Aplysia californica]	XP_006825105.1 PREDICTED: B-cell receptor-associated protein 31-like [Saccoglossus kowalevskii]	0
PladumEVm097343	-2.94727377237081	3.39129920427296	112.632097897959	2.59768126976387e-26	3.94610373409912e-23	.	.	.	.	.	7
PladumEVm018936	4.5821077658311	0.788697568069775	111.913910479701	3.73167335080231e-26	5.43253896682008e-23	sp|Q9D154|ILEUA_MOUSE Leukocyte elastase inhibitor A OS=Mus musculus OX=10090 GN=Serpinb1a PE=1 SV=1	XP_011512636.1 leukocyte elastase inhibitor isoform X1 [Homo sapiens]	gi|281360253|ref|NP_001163067.1| serpin 42Dd [Drosophila melanogaster]	XP_035824102.1 leukocyte elastase inhibitor isoform X1 [Aplysia californica]	XP_002734390.1 PREDICTED: serpin B3-like [Saccoglossus kowalevskii]	0
PladumEVm044059	3.21255557702181	4.37834917627479	111.660052958593	4.24143435894688e-26	5.92765900268979e-23	sp|P97875|JDP2_MOUSE Jun dimerization protein 2 OS=Mus musculus OX=10090 GN=Jdp2 PE=1 SV=2	XP_016876461.1 jun dimerization protein 2 isoform X2 [Homo sapiens]	.	XP_012935234.1 uncharacterized protein LOC106011146 [Aplysia californica]	XP_006824836.1 PREDICTED: cyclic AMP-dependent transcription factor ATF-3-like [Saccoglossus kowalevskii]	8
PladumEVm015907	2.85453242800232	1.47158389218053	110.538460322649	7.46823384637077e-26	1.00358700907057e-22	sp|Q64459|CP3AB_MOUSE Cytochrome P450 3A11 OS=Mus musculus OX=10090 GN=Cyp3a11 PE=1 SV=1	NP_001278759.1 cytochrome P450 3A5 isoform 4 precursor [Homo sapiens]	gi|17647305|ref|NP_523628.1| cytochrome P450-6a2 [Drosophila melanogaster]	XP_012945993.1 cytochrome P450 3A16 [Aplysia californica]	XP_006824666.1 PREDICTED: cytochrome P450 3A8-like [Saccoglossus kowalevskii]	0
PladumEVm060572	2.4475608466674	3.42591801484747	110.439204995571	7.85168046705051e-26	1.01603653273436e-22	.	.	.	.	.	11
PladumEVm098962	-2.0281211861691	3.35757420152536	102.255301686353	4.88081673738805e-24	6.0903877138429e-21	.	.	.	.	.	0
PladumEVm005430	4.00372810111998	2.99193545583951	101.747050834179	6.30840444467491e-24	7.60032216870678e-21	sp|Q9Z1K6|ARI2_MOUSE E3 ubiquitin-protein ligase ARIH2 OS=Mus musculus OX=10090 GN=Arih2 PE=1 SV=1	XP_016861025.1 E3 ubiquitin-protein ligase ARIH2 isoform X5 [Homo sapiens]	gi|17137570|ref|NP_477374.1| ariadne 2 [Drosophila melanogaster]	XP_005099846.1 ATP-dependent RNA helicase DEAH12, chloroplastic [Aplysia californica]	XP_006818162.1 PREDICTED: E3 ubiquitin-protein ligase RNF14-like, partial [Saccoglossus kowalevskii]	0
PladumEVm024667	3.77213079041473	3.77432289931637	101.017785108938	9.11612280828546e-24	1.06169404932895e-20	sp|Q9R1J0|NSDHL_MOUSE Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating OS=Mus musculus OX=10090 GN=Nsdhl PE=1 SV=1	XP_016885053.1 sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating isoform X1 [Homo sapiens]	gi|21355349|ref|NP_648957.1| CG7724 [Drosophila melanogaster]	XP_012945514.1 putative anthocyanidin reductase [Aplysia californica]	XP_006823935.1 PREDICTED: bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like [Saccoglossus kowalevskii]	0
PladumEVm011122	3.53451541866926	2.98066702438653	100.390254772409	1.25142308445835e-23	1.35003629496079e-20	sp|Q9CXI3|MOXD1_MOUSE DBH-like monooxygenase protein 1 OS=Mus musculus OX=10090 GN=Moxd1 PE=1 SV=1	NP_056344.2 DBH-like monooxygenase protein 1 precursor [Homo sapiens]	gi|281366611|ref|NP_730711.3| olf413, isoform B [Drosophila melanogaster]	XP_005093372.2 DBH-like monooxygenase protein 1 [Aplysia californica]	XP_002734974.1 PREDICTED: DBH-like monooxygenase protein 1 homolog [Saccoglossus kowalevskii]	0
PladumEVm031309	2.46187458139703	3.97445624215589	100.358776834974	1.27147057450774e-23	1.35003629496079e-20	.	.	.	.	.	3
PladumEVm024997	2.56018397509336	4.55861153316989	100.353109847486	1.27511370484862e-23	1.35003629496079e-20	sp|P52430|PON1_MOUSE Serum paraoxonase/arylesterase 1 OS=Mus musculus OX=10090 GN=Pon1 PE=1 SV=2	NP_000437.3 serum paraoxonase/arylesterase 1 precursor [Homo sapiens]	.	XP_035829748.1 serum paraoxonase/arylesterase 2 [Aplysia californica]	XP_002731966.1 PREDICTED: serum paraoxonase/arylesterase 1-like [Saccoglossus kowalevskii]	0
PladumEVm071382	-1.95017401703902	5.10792351364709	97.5672020841966	5.20591217495182e-23	5.34968722001887e-20	.	.	.	.	.	6
PladumEVm032554	2.51230679096746	3.28722380917268	96.7254355546899	7.96395528361194e-23	7.9500752472605e-20	sp|Q8BYK4|RDH12_MOUSE Retinol dehydrogenase 12 OS=Mus musculus OX=10090 GN=Rdh12 PE=2 SV=1	NP_689656.2 retinol dehydrogenase 12 precursor [Homo sapiens]	gi|22024069|ref|NP_610310.2| CG2064 [Drosophila melanogaster]	XP_005108305.1 retinol dehydrogenase 13 [Aplysia californica]	XP_002735885.1 PREDICTED: retinol dehydrogenase 13-like [Saccoglossus kowalevskii]	2
PladumEVm022594	2.45125825950614	3.99687808416261	96.5116697613522	8.87193663117844e-23	8.61046094324288e-20	.	.	.	.	.	8
PladumEVm031587	1.73547067210764	5.58939504363849	96.1933474794244	1.04194419543768e-22	9.83905087686407e-20	sp|Q99LJ6|GPX7_MOUSE Glutathione peroxidase 7 OS=Mus musculus OX=10090 GN=Gpx7 PE=1 SV=1	NP_056511.2 glutathione peroxidase 7 precursor [Homo sapiens]	gi|24656777|ref|NP_728870.1| PHGPx, isoform A [Drosophila melanogaster]	XP_005091443.1 glutathione peroxidase 7 [Aplysia californica]	XP_006818548.1 PREDICTED: glutathione peroxidase 7-like [Saccoglossus kowalevskii]	3
PladumEVm070357	2.16418849396967	4.74353589454455	95.3872269001592	1.5656058068589e-22	1.43949213910113e-19	tr|Q3UW09|Q3UW09_MOUSE Serine peptidase inhibitor, Kunitz type, 3 OS=Mus musculus OX=10090 GN=Spint3 PE=2 SV=1	XP_024308830.1 tissue factor pathway inhibitor isoform X2 [Homo sapiens]	gi|281362741|ref|NP_788752.2| papilin, isoform E [Drosophila melanogaster]	XP_012946540.1 papilin [Aplysia californica]	XP_006814674.1 PREDICTED: papilin-like [Saccoglossus kowalevskii]	2
PladumEVm032615	2.50903743337226	3.43073478810257	94.9343254051006	1.96807457340931e-22	1.72702103552433e-19	sp|Q3UMF9|FAXC_MOUSE Failed axon connections homolog OS=Mus musculus OX=10090 GN=Faxc PE=2 SV=1	NP_001333461.1 failed axon connections homolog isoform 3 [Homo sapiens]	gi|62472216|ref|NP_001014587.1| failed axon connections, isoform C [Drosophila melanogaster]	XP_005100153.1 failed axon connections homolog isoform X2 [Aplysia californica]	XP_002731577.1 PREDICTED: failed axon connections homolog [Saccoglossus kowalevskii]	0
PladumEVm012772	3.28993901943726	2.81142303103529	94.9251836578733	1.97718427605179e-22	1.72702103552433e-19	sp|Q9CXI3|MOXD1_MOUSE DBH-like monooxygenase protein 1 OS=Mus musculus OX=10090 GN=Moxd1 PE=1 SV=1	XP_016866203.1 DBH-like monooxygenase protein 1 isoform X1 [Homo sapiens]	gi|28571135|ref|NP_788884.1| tyramine beta hydroxylase, isoform B [Drosophila melanogaster]	XP_005093372.2 DBH-like monooxygenase protein 1 [Aplysia californica]	XP_002734974.1 PREDICTED: DBH-like monooxygenase protein 1 homolog [Saccoglossus kowalevskii]	0
PladumEVm064753	2.02467726897132	2.68035501886594	94.4466304209614	2.51790364939454e-22	2.14194350913478e-19	sp|Q99J56|DERL1_MOUSE Derlin-1 OS=Mus musculus OX=10090 GN=Derl1 PE=1 SV=1	NP_001350892.1 derlin-1 isoform c [Homo sapiens]	gi|20129161|ref|NP_608632.1| Derlin-1, isoform A [Drosophila melanogaster]	XP_005102643.1 derlin-1 [Aplysia californica]	XP_002734718.1 PREDICTED: derlin-1-like [Saccoglossus kowalevskii]	2
PladumEVm101984	-1.8996079486106	4.81039986758732	94.4023838497661	2.5748197539615e-22	2.14194350913478e-19	.	.	.	.	.	0
PladumEVm022636	3.26300928279259	1.51632139058914	93.9350745186274	3.26045037648073e-22	2.64922966753164e-19	sp|Q80YV4|PANK4_MOUSE 4-phosphopantetheine phosphatase OS=Mus musculus OX=10090 GN=Pank4 PE=1 SV=2	XP_011540010.2 4-phosphopantetheine phosphatase isoform X1 [Homo sapiens]	gi|20544156|ref|NP_597678.1| fumble, isoform B [Drosophila melanogaster]	XP_035826799.1 4-phosphopantetheine phosphatase [Aplysia californica]	XP_006823846.1 PREDICTED: pantothenate kinase 4-like [Saccoglossus kowalevskii]	0
PladumEVm033225	2.02540092100647	5.60786694936856	93.7045661819745	3.66314869876266e-22	2.90878982695611e-19	.	.	.	.	.	8
PladumEVm037147	1.70709893687442	3.94983896819168	92.9321605892369	5.41179136832617e-22	4.20183508039884e-19	sp|Q99LJ8|NGBR_MOUSE Dehydrodolichyl diphosphate synthase complex subunit Nus1 OS=Mus musculus OX=10090 GN=Nus1 PE=2 SV=1	NP_612468.1 dehydrodolichyl diphosphate synthase complex subunit NUS1 [Homo sapiens]	gi|24580799|ref|NP_608577.2| transport and golgi organization 14, isoform A [Drosophila melanogaster]	XP_005103331.1 dehydrodolichyl diphosphate synthase complex subunit nus1 [Aplysia californica]	XP_002735327.1 PREDICTED: nogo-B receptor-like [Saccoglossus kowalevskii]	2
PladumEVm015580	4.03701057924687	5.68046181620853	92.3207155470228	7.37086885412993e-22	5.59849536727056e-19	.	.	.	.	.	8
PladumEVm023823	2.52183549730143	4.76083828078057	91.9458106633911	8.90827544388542e-22	6.6222603347641e-19	.	.	.	.	.	4
PladumEVm075919	-3.38837825620457	3.52489510760038	86.2029274838682	1.62387096795683e-20	1.18200891144674e-17	.	.	.	.	.	1
PladumEVm032627	2.63717193346004	3.51673009326251	85.1582860975427	2.75411193577883e-20	1.96379422294238e-17	sp|Q3UMF9|FAXC_MOUSE Failed axon connections homolog OS=Mus musculus OX=10090 GN=Faxc PE=2 SV=1	NP_001333461.1 failed axon connections homolog isoform 3 [Homo sapiens]	gi|62472216|ref|NP_001014587.1| failed axon connections, isoform C [Drosophila melanogaster]	XP_005100153.1 failed axon connections homolog isoform X2 [Aplysia californica]	XP_002731577.1 PREDICTED: failed axon connections homolog [Saccoglossus kowalevskii]	5
PladumEVm070140	-3.32587659472103	4.74582947024805	85.110711678842	2.82118060739753e-20	1.97138458483725e-17	.	.	.	.	.	2
PladumEVm070047	2.41159848282067	3.00203146690512	83.9369152358296	5.10817407611479e-20	3.4757283129088e-17	sp|Q64459|CP3AB_MOUSE Cytochrome P450 3A11 OS=Mus musculus OX=10090 GN=Cyp3a11 PE=1 SV=1	NP_000756.3 cytochrome P450 3A7 [Homo sapiens]	gi|19921824|ref|NP_610390.1| Cyp6a13 [Drosophila melanogaster]	XP_005094361.2 cytochrome P450 3A11 [Aplysia californica]	XP_002734346.1 PREDICTED: cytochrome P450 3A41-like [Saccoglossus kowalevskii]	0
PladumEVm048242	3.64594683097484	0.484464797697848	83.9120012878061	5.17295492919824e-20	3.4757283129088e-17	tr|F8VPQ6|F8VPQ6_MOUSE Alkaline phosphatase OS=Mus musculus OX=10090 GN=Alpi PE=1 SV=1	NP_001622.2 intestinal-type alkaline phosphatase precursor [Homo sapiens]	gi|21355151|ref|NP_647977.1| CG5150, isoform A [Drosophila melanogaster]	XP_012938482.1 alkaline phosphatase [Aplysia californica]	XP_006811662.1 PREDICTED: alkaline phosphatase, tissue-nonspecific isozyme-like [Saccoglossus kowalevskii]	0
PladumEVm041312	1.99740204083673	5.34958937738362	83.5768927504951	6.12852421611522e-20	4.04008504880849e-17	tr|Q3TMX5|Q3TMX5_MOUSE Mesencephalic astrocyte-derived neurotrophic factor OS=Mus musculus OX=10090 GN=Manf PE=1 SV=1	NP_006001.5 mesencephalic astrocyte-derived neurotrophic factor precursor [Homo sapiens]	gi|17137698|ref|NP_477445.1| mesencephalic astrocyte-derived neurotrophic factor ortholog [Drosophila melanogaster]	XP_005111963.1 mesencephalic astrocyte-derived neurotrophic factor homolog [Aplysia californica]	NP_001161504.1 ARMET-like protein precursor [Saccoglossus kowalevskii]	2
PladumEVm085757	-3.70759532415872	2.42268366379949	83.348877639415	6.87778442499555e-20	4.45005388935036e-17	.	.	.	.	.	2
PladumEVm019194	2.67491015874004	3.77486540606978	82.486798040744	1.06378285158062e-19	6.75772891843189e-17	.	.	.	.	.	8
PladumEVm010603	2.369928091022	2.03093023675434	82.2890861287008	1.17569518685235e-19	7.33528823811328e-17	sp|P58283|RN216_MOUSE E3 ubiquitin-protein ligase RNF216 OS=Mus musculus OX=10090 GN=Rnf216 PE=1 SV=3	XP_024302575.1 E3 ubiquitin-protein ligase RNF216 isoform X4 [Homo sapiens]	.	XP_005098624.1 uncharacterized protein LOC101849460 [Aplysia californica]	XP_006815806.1 PREDICTED: uncharacterized protein LOC102801442 [Saccoglossus kowalevskii]	0
PladumEVm021059	3.10091907526125	0.731234248504957	81.9284582341558	1.41102883983512e-19	8.64911169035077e-17	sp|A2AIG8|1A1L1_MOUSE 1-aminocyclopropane-1-carboxylate synthase-like protein 1 OS=Mus musculus OX=10090 GN=Accs PE=2 SV=1	NP_115981.1 1-aminocyclopropane-1-carboxylate synthase-like protein 1 [Homo sapiens]	gi|18859735|ref|NP_572953.1| CG1461, isoform A [Drosophila melanogaster]	XP_005105558.1 1-aminocyclopropane-1-carboxylate synthase-like protein 1 [Aplysia californica]	XP_006825761.1 PREDICTED: 1-aminocyclopropane-1-carboxylate synthase-like protein 1-like [Saccoglossus kowalevskii]	0
PladumEVm028668	4.87077632606452	2.24517998205713	81.5964155257152	1.66916603873336e-19	1.00549986598801e-16	sp|Q922Q1|MARC2_MOUSE Mitochondrial amidoxime reducing component 2 OS=Mus musculus OX=10090 GN=Mtarc2 PE=1 SV=1	XP_011507986.1 mitochondrial amidoxime reducing component 2 isoform X1 [Homo sapiens]	gi|45550400|ref|NP_610523.2| CG1665 [Drosophila melanogaster]	XP_035827261.1 mitochondrial amidoxime-reducing component 1 [Aplysia californica]	XP_002742208.1 PREDICTED: MOSC domain-containing protein 1, mitochondrial-like [Saccoglossus kowalevskii]	1
PladumEVm039687	1.87742964812109	2.28452542352104	80.8428303677297	2.44402955806017e-19	1.44732116489939e-16	sp|P59024|FKB14_MOUSE Peptidyl-prolyl cis-trans isomerase FKBP14 OS=Mus musculus OX=10090 GN=Fkbp14 PE=1 SV=1	NP_060416.1 peptidyl-prolyl cis-trans isomerase FKBP14 precursor [Homo sapiens]	gi|17352457|ref|NP_476973.1| FK506-binding protein 14 ortholog, isoform A [Drosophila melanogaster]	XP_005099972.1 FK506-binding protein 2 [Aplysia californica]	XP_006815834.1 PREDICTED: peptidyl-prolyl cis-trans isomerase FKBP14-like isoform X2 [Saccoglossus kowalevskii]	1
PladumEVm031671	2.52836135154864	1.37637126851316	80.5490170660685	2.83582451922477e-19	1.65134788128657e-16	sp|Q9D020|5NT3A_MOUSE Cytosolic 5-nucleotidase 3A OS=Mus musculus OX=10090 GN=Nt5c3a PE=1 SV=4	NP_001002010.2 cytosolic 5-nucleotidase 3A isoform 1 [Homo sapiens]	gi|19922890|ref|NP_611895.1| cytosolic 5-nucleotidase IIIB [Drosophila melanogaster]	XP_012935094.1 7-methylguanosine phosphate-specific 5-nucleotidase A isoform X4 [Aplysia californica]	XP_006823781.1 PREDICTED: cytosolic 5-nucleotidase 3A-like [Saccoglossus kowalevskii]	8
PladumEVm017644	-2.58526515595878	2.86886867288187	80.0988005023738	3.56148549209294e-19	2.03991379685631e-16	.	.	.	.	.	0
PladumEVm014897	2.03613173049245	2.98745710517582	77.9677215810662	1.04738190338768e-18	5.9023348907197e-16	tr|E9PV38|E9PV38_MOUSE Carboxylic ester hydrolase OS=Mus musculus OX=10090 GN=Ces2g PE=1 SV=1	NP_003860.3 cocaine esterase isoform 1 precursor [Homo sapiens]	gi|24639611|ref|NP_570089.1| CG6414, isoform A [Drosophila melanogaster]	XP_005094077.1 cocaine esterase [Aplysia californica]	XP_002741758.1 PREDICTED: acetylcholinesterase-like [Saccoglossus kowalevskii]	11
PladumEVm014907	2.21731799460685	3.83569001410155	77.8730954653954	1.09877861223993e-18	6.09368665603985e-16	tr|E9PV38|E9PV38_MOUSE Carboxylic ester hydrolase OS=Mus musculus OX=10090 GN=Ces2g PE=1 SV=1	NP_003860.3 cocaine esterase isoform 1 precursor [Homo sapiens]	gi|24639611|ref|NP_570089.1| CG6414, isoform A [Drosophila melanogaster]	XP_005094077.1 cocaine esterase [Aplysia californica]	XP_002741758.1 PREDICTED: acetylcholinesterase-like [Saccoglossus kowalevskii]	0
