"X.."	"X.logFC."	"X.logCPM."	"X.LR."	"X.PValue."	"X.FDR."	"Mouse"	"Human"	"Drosophila"	"Aplysia.clifornica"	"Saccoglossus.kowalevskii"	"Cluster"
"PladumEVm054067"	"PladumEVm054067"	1.77254440831327	2.8210741585966	36.7420606302167	1.34838632457481e-09	8.93868633749635e-08	"sp|Q8R3U1|PLAT3_MOUSE Phospholipase A and acyltransferase 3 OS=Mus musculus OX=10090 GN=Plaat3 PE=1 SV=2"	"XP_006718489.1 phospholipase A and acyltransferase 3 isoform X2 [Homo sapiens]"	"."	"XP_005088862.1 phospholipase A and acyltransferase 2 [Aplysia californica]"	"XP_006811652.1 PREDICTED: HRAS-like suppressor 3-like, partial [Saccoglossus kowalevskii]"	8
"PladumEVm006429"	"PladumEVm006429"	-1.52937991790246	4.65717977662721	36.6776960381616	1.39364862496521e-09	9.20466716590915e-08	"sp|O08762|NETR_MOUSE Neurotrypsin OS=Mus musculus OX=10090 GN=Prss12 PE=1 SV=1"	"XP_005263375.1 neurotrypsin isoform X2 [Homo sapiens]"	"gi|24661363|ref|NP_729451.1| tequila, isoform D [Drosophila melanogaster]"	"XP_012937884.1 deleted in malignant brain tumors 1 protein [Aplysia californica]"	"XP_006817471.1 PREDICTED: scavenger receptor cysteine-rich domain superfamily protein-like, partial [Saccoglossus kowalevskii]"	8
"PladumEVm015736"	"PladumEVm015736"	1.52773201810461	3.18187860615425	35.2754423192018	2.86218445494614e-09	1.80835194704093e-07	"sp|Q9WVK8|CP46A_MOUSE Cholesterol 24-hydroxylase OS=Mus musculus OX=10090 GN=Cyp46a1 PE=1 SV=1"	"NP_006659.1 cholesterol 24-hydroxylase precursor [Homo sapiens]"	"gi|17933518|ref|NP_525043.1| cytochrome P450-4d2, isoform A [Drosophila melanogaster]"	"XP_005094868.1 cytochrome P450 4F22 [Aplysia californica]"	"XP_006817439.1 PREDICTED: cholesterol 24-hydroxylase-like [Saccoglossus kowalevskii]"	1
"PladumEVm038742"	"PladumEVm038742"	1.40448364246511	5.30048572791014	34.8423159397584	3.57517801626565e-09	2.24260582962847e-07	"sp|Q9QY33|TSN3_MOUSE Tetraspanin-3 OS=Mus musculus OX=10090 GN=Tspan3 PE=1 SV=1"	"NP_005715.1 tetraspanin-3 isoform 1 [Homo sapiens]"	"gi|17648085|ref|NP_524132.1| tetraspanin 74F, isoform B [Drosophila melanogaster]"	"XP_005099394.1 tetraspanin-3 [Aplysia californica]"	"XP_002736204.1 PREDICTED: tetraspanin-3-like [Saccoglossus kowalevskii]"	0
"PladumEVm003844"	"PladumEVm003844"	-1.48105629382779	6.44098873320406	34.6952487541608	3.85571470167246e-09	2.40133361785622e-07	"tr|V9GX34|V9GX34_MOUSE CUB and Sushi multiple domains 2 OS=Mus musculus OX=10090 GN=Csmd2 PE=1 SV=2"	"XP_016855674.1 CUB and sushi domain-containing protein 2 isoform X1 [Homo sapiens]"	"gi|24641465|ref|NP_511136.2| furrowed, isoform A [Drosophila melanogaster]"	"XP_012938062.1 sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 [Aplysia californica]"	"XP_006816702.1 PREDICTED: protein mesh-like, partial [Saccoglossus kowalevskii]"	3
"PladumEVm014961"	"PladumEVm014961"	1.49262453586539	4.43997358578107	34.246913169137	4.85444829698874e-09	2.9860839621213e-07	"sp|P23819|GRIA2_MOUSE Glutamate receptor 2 OS=Mus musculus OX=10090 GN=Gria2 PE=1 SV=3"	"NP_001365929.3 glutamate receptor 2 isoform 4 [Homo sapiens]"	"gi|24648559|ref|NP_650925.1| CG3822 [Drosophila melanogaster]"	"XP_012945039.1 glutamate receptor 1 [Aplysia californica]"	"XP_006822967.1 PREDICTED: glutamate receptor ionotropic, kainate 2 [Saccoglossus kowalevskii]"	0
"PladumEVm107955"	"PladumEVm107955"	1.59104811125946	4.4647291851254	34.240441246348	4.87061916644987e-09	2.99076560732147e-07	"sp|Q9JLJ1|SELK_MOUSE Selenoprotein K OS=Mus musculus OX=10090 GN=Selenok PE=1 SV=3"	"NP_067060.2 selenoprotein K [Homo sapiens]"	"."	"XP_005105508.1 selenoprotein K [Aplysia californica]"	"XP_006811289.1 PREDICTED: selenoprotein K-like isoform X2 [Saccoglossus kowalevskii]"	2
"PladumEVm003718"	"PladumEVm003718"	1.44717683764839	4.35258353653118	34.053042084053	5.36299974002859e-09	3.27011950989282e-07	"tr|J3QJX3|J3QJX3_MOUSE Protein sel-1 homolog 1 OS=Mus musculus OX=10090 GN=Sel1l PE=1 SV=1"	"XP_005268045.1 protein sel-1 homolog 1 isoform X1 [Homo sapiens]"	"gi|21355295|ref|NP_651179.1| Hrd3, isoform A [Drosophila melanogaster]"	"XP_005097909.1 protein sel-1 homolog 1 isoform X2 [Aplysia californica]"	"XP_006817427.1 PREDICTED: protein sel-1 homolog 1 [Saccoglossus kowalevskii]"	0
"PladumEVm033778"	"PladumEVm033778"	1.4548631482116	5.02132611950867	33.6624811841693	6.55529158516099e-09	3.93531499474124e-07	"sp|Q9D8V7|SC11C_MOUSE Signal peptidase complex catalytic subunit SEC11C OS=Mus musculus OX=10090 GN=Sec11c PE=1 SV=3"	"NP_055115.1 signal peptidase complex catalytic subunit SEC11A isoform 2 [Homo sapiens]"	"gi|21358147|ref|NP_649676.1| twisted bristles roughened eye [Drosophila melanogaster]"	"XP_005112802.1 signal peptidase complex catalytic subunit SEC11A [Aplysia californica]"	"XP_002740539.1 PREDICTED: signal peptidase complex catalytic subunit SEC11A-like [Saccoglossus kowalevskii]"	2
"PladumEVm020575"	"PladumEVm020575"	1.3517174332494	5.1900040592541	33.339733537768	7.73852670394572e-09	4.61393147626552e-07	"sp|Q8R127|SCPDL_MOUSE Saccharopine dehydrogenase-like oxidoreductase OS=Mus musculus OX=10090 GN=Sccpdh PE=1 SV=1"	"NP_057086.2 saccharopine dehydrogenase-like oxidoreductase [Homo sapiens]"	"gi|24646278|ref|NP_650190.1| CG5167 [Drosophila melanogaster]"	"XP_005095024.1 saccharopine dehydrogenase-like oxidoreductase [Aplysia californica]"	"XP_002732534.1 PREDICTED: saccharopine dehydrogenase-like oxidoreductase-like [Saccoglossus kowalevskii]"	0
"PladumEVm009339"	"PladumEVm009339"	1.59256087331099	3.88079012626313	33.2963788823061	7.91298476185025e-09	4.7099109811633e-07	"tr|Q3V3M1|Q3V3M1_MOUSE Endoplasmic reticulum membrane sensor NFE2L1 OS=Mus musculus OX=10090 GN=Nfe2l1 PE=1 SV=1"	"XP_005257469.1 endoplasmic reticulum membrane sensor NFE2L1 isoform X3 [Homo sapiens]"	"gi|24649240|ref|NP_732835.1| cap-n-collar, isoform A [Drosophila melanogaster]"	"XP_035829485.1 endoplasmic reticulum membrane sensor NFE2L1 isoform X3 [Aplysia californica]"	"XP_002737120.1 PREDICTED: nuclear factor erythroid 2-related factor 1-like isoform X1 [Saccoglossus kowalevskii]"	3
"PladumEVm049048"	"PladumEVm049048"	-1.42317749716993	3.27460057213006	33.252191078732	8.09484942584524e-09	4.80179871119876e-07	"."	"."	"."	"XP_012945115.1 proline-rich transmembrane protein 1 [Aplysia californica]"	"XP_002737561.1 PREDICTED: proline-rich transmembrane protein 1-like [Saccoglossus kowalevskii]"	10
"PladumEVm035699"	"PladumEVm035699"	1.59833135787759	3.47179146872909	33.1212263652815	8.65882788034086e-09	5.11896425230507e-07	"sp|Q8VCQ3|NRBF2_MOUSE Nuclear receptor-binding factor 2 OS=Mus musculus OX=10090 GN=Nrbf2 PE=1 SV=1"	"NP_110386.2 nuclear receptor-binding factor 2 isoform 1 [Homo sapiens]"	"."	"XP_005092711.1 nuclear receptor-binding factor 2 [Aplysia californica]"	"XP_002742084.1 PREDICTED: nuclear receptor-binding factor 2-like [Saccoglossus kowalevskii]"	0
"PladumEVm044672"	"PladumEVm044672"	1.35052962561899	5.94759812823712	33.1140083954926	8.69103089970517e-09	5.12932311832431e-07	"sp|Q9CQM2|ERD22_MOUSE ER lumen protein-retaining receptor 2 OS=Mus musculus OX=10090 GN=Kdelr2 PE=1 SV=1"	"NP_006845.1 ER lumen protein-retaining receptor 2 isoform 1 [Homo sapiens]"	"gi|17137442|ref|NP_477296.1| KDEL receptor, isoform A [Drosophila melanogaster]"	"XP_005104349.1 ER lumen protein-retaining receptor 2 [Aplysia californica]"	"XP_002733385.1 PREDICTED: ER lumen protein retaining receptor 2-like [Saccoglossus kowalevskii]"	2
"PladumEVm057854"	"PladumEVm057854"	-1.28016128789415	3.74245439627737	33.0755171087494	8.86479640343646e-09	5.22305432613266e-07	"sp|Q9JLJ0|LITAF_MOUSE Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog OS=Mus musculus OX=10090 GN=Litaf PE=1 SV=1"	"XP_011521086.1 LITAF domain-containing protein isoform X3 [Homo sapiens]"	"gi|24656513|ref|NP_728818.1| uncharacterized protein Dmel_CG32280, isoform A [Drosophila melanogaster]"	"XP_035828778.1 cell death-inducing p53-target protein 1 homolog [Aplysia californica]"	"XP_006822299.1 PREDICTED: lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog [Saccoglossus kowalevskii]"	10
"PladumEVm014729"	"PladumEVm014729"	1.46236728846645	3.75745257808418	32.8916762201313	9.74395805368784e-09	5.71215017513086e-07	"sp|Q9CYA0|CREL2_MOUSE Protein disulfide isomerase Creld2 OS=Mus musculus OX=10090 GN=Creld2 PE=1 SV=1"	"NP_077300.3 protein disulfide isomerase CRELD2 isoform b precursor [Homo sapiens]"	"gi|442624836|ref|NP_001259790.1| uncharacterized protein Dmel_CG11377, isoform B [Drosophila melanogaster]"	"XP_005106648.1 cysteine-rich with EGF-like domain protein 2-A isoform X3 [Aplysia californica]"	"XP_006819471.1 PREDICTED: uncharacterized protein LOC102807844 [Saccoglossus kowalevskii]"	6
"PladumEVm003256"	"PladumEVm003256"	-1.56507132555798	8.17837015403721	32.4675455704595	1.21199747229391e-08	7.03421589443137e-07	"tr|V9GX34|V9GX34_MOUSE CUB and Sushi multiple domains 2 OS=Mus musculus OX=10090 GN=Csmd2 PE=1 SV=2"	"NP_443128.2 CUB and sushi domain-containing protein 2 isoform 2 [Homo sapiens]"	"gi|161077775|ref|NP_001096961.1| furrowed, isoform B [Drosophila melanogaster]"	"XP_012938062.1 sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 [Aplysia californica]"	"XP_006814579.1 PREDICTED: sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Saccoglossus kowalevskii]"	3
"PladumEVm006523"	"PladumEVm006523"	1.54412133573148	3.85037203676237	32.3836644169603	1.26545804899585e-08	7.30807252460597e-07	"tr|Q3V3M1|Q3V3M1_MOUSE Endoplasmic reticulum membrane sensor NFE2L1 OS=Mus musculus OX=10090 GN=Nfe2l1 PE=1 SV=1"	"XP_005257468.1 endoplasmic reticulum membrane sensor NFE2L1 isoform X2 [Homo sapiens]"	"gi|24649240|ref|NP_732835.1| cap-n-collar, isoform A [Drosophila melanogaster]"	"XP_035829485.1 endoplasmic reticulum membrane sensor NFE2L1 isoform X3 [Aplysia californica]"	"XP_002737120.1 PREDICTED: nuclear factor erythroid 2-related factor 1-like isoform X1 [Saccoglossus kowalevskii]"	6
"PladumEVm030892"	"PladumEVm030892"	1.88456146271392	2.43527048578256	32.0270508270215	1.52040620868786e-08	8.65170562302037e-07	"sp|Q8VCR2|DHB13_MOUSE 17-beta-hydroxysteroid dehydrogenase 13 OS=Mus musculus OX=10090 GN=Hsd17b13 PE=1 SV=2"	"NP_835236.2 17-beta-hydroxysteroid dehydrogenase 13 isoform A precursor [Homo sapiens]"	"gi|24581726|ref|NP_608859.1| uncharacterized protein Dmel_CG15629 [Drosophila melanogaster]"	"XP_012944655.1 17-beta-hydroxysteroid dehydrogenase 13 [Aplysia californica]"	"XP_006821780.1 PREDICTED: epidermal retinol dehydrogenase 2-like [Saccoglossus kowalevskii]"	3
"PladumEVm029657"	"PladumEVm029657"	1.75446630689057	4.75696062362148	31.5361875469152	1.95757879363651e-08	1.09784663677153e-06	"sp|Q9D3D0|TTPAL_MOUSE Alpha-tocopherol transfer protein-like OS=Mus musculus OX=10090 GN=Ttpal PE=1 SV=3"	"XP_011527346.1 alpha-tocopherol transfer protein-like isoform X1 [Homo sapiens]"	"gi|24644229|ref|NP_730931.1| CG2663, isoform A [Drosophila melanogaster]"	"XP_012943355.1 alpha-tocopherol transfer protein-like [Aplysia californica]"	"XP_002735756.1 PREDICTED: alpha-tocopherol transfer protein-like [Saccoglossus kowalevskii]"	10
"PladumEVm020973"	"PladumEVm020973"	1.64159106753914	7.56349525818899	31.3411095266046	2.16447584460203e-08	1.20613431474562e-06	"tr|E9Q853|E9Q853_MOUSE Transmembrane protein 258 OS=Mus musculus OX=10090 GN=Tmem258 PE=3 SV=1"	"NP_055021.1 transmembrane protein 258 [Homo sapiens]"	"."	"."	"."	6
"PladumEVm015713"	"PladumEVm015713"	-1.30456132266187	4.11488743536502	31.2845493448686	2.22846120614999e-08	1.23981219875278e-06	"sp|P23359|BMP7_MOUSE Bone morphogenetic protein 7 OS=Mus musculus OX=10090 GN=Bmp7 PE=1 SV=2"	"NP_005250.1 growth/differentiation factor 8 preproprotein [Homo sapiens]"	"."	"XP_005091391.1 uncharacterized protein LOC101853674 [Aplysia californica]"	"XP_006817090.1 PREDICTED: bone morphogenetic protein 2-A-like [Saccoglossus kowalevskii]"	6
"PladumEVm011314"	"PladumEVm011314"	1.40084311972359	5.41438177019408	31.1778088456191	2.35442210008132e-08	1.30780848576695e-06	"tr|A0A0R4J0Z1|A0A0R4J0Z1_MOUSE Protein disulfide-isomerase A4 OS=Mus musculus OX=10090 GN=Pdia4 PE=1 SV=1"	"NP_001358173.1 protein disulfide-isomerase A4 isoform 1 precursor [Homo sapiens]"	"gi|45551086|ref|NP_725084.2| ERp60 [Drosophila melanogaster]"	"XP_005099456.1 protein disulfide-isomerase A4 isoform X1 [Aplysia californica]"	"XP_002732815.1 PREDICTED: protein disulfide-isomerase A4-like [Saccoglossus kowalevskii]"	0
"PladumEVm019498"	"PladumEVm019498"	1.69566959290224	1.88814032730709	30.9234318095257	2.68411435650621e-08	1.4745325707857e-06	"sp|Q64HY3|SP9_MOUSE Transcription factor Sp9 OS=Mus musculus OX=10090 GN=Sp9 PE=1 SV=1"	"NP_001138722.1 transcription factor Sp9 [Homo sapiens]"	"gi|24640871|ref|NP_727360.1| Sp1, isoform B [Drosophila melanogaster]"	"XP_005093574.1 transcription factor Sp9 [Aplysia californica]"	"NP_001161661.1 SP8/9 transcription factor [Saccoglossus kowalevskii]"	1
